epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,2171.57,1.00186,0.77004,1.41136,0.8545,0.78501,0.84925,0.47829,1.60004,0.95459,2.1645,0.000470375,0.000470375,0.000470375
128,2190.17,1.01103,0.77053,1.41067,0.83634,0.81605,0.85294,0.47475,1.61013,0.91464,2.20273,0.000464188,0.000464188,0.000464188
129,2206.55,0.98375,0.74246,1.39009,0.87566,0.79427,0.85813,0.47787,1.63037,0.94127,2.20199,0.000458,0.000458,0.000458
130,2222.86,0.9875,0.75675,1.40084,0.80768,0.79048,0.83504,0.46986,1.63031,0.99253,2.20254,0.000451813,0.000451813,0.000451813
131,2241.04,0.97952,0.74701,1.38355,0.83831,0.80603,0.85317,0.47892,1.6112,0.90995,2.1798,0.000445625,0.000445625,0.000445625
132,2256.6,0.99151,0.76422,1.40247,0.81111,0.79139,0.83201,0.45957,1.63795,0.97058,2.20569,0.000439437,0.000439437,0.000439437
133,2274.5,0.98501,0.74528,1.39799,0.87557,0.80309,0.87417,0.47567,1.66384,0.91403,2.23529,0.00043325,0.00043325,0.00043325
134,2290.36,0.96839,0.73089,1.38745,0.86256,0.79832,0.84626,0.46735,1.62328,0.95919,2.16177,0.000427062,0.000427062,0.000427062
135,2308.58,0.94679,0.74572,1.35719,0.85405,0.79299,0.84737,0.47797,1.60149,0.95545,2.18392,0.000420875,0.000420875,0.000420875
136,2324.85,0.96137,0.74309,1.38805,0.84593,0.79038,0.85419,0.47606,1.60734,0.91673,2.18146,0.000414688,0.000414688,0.000414688
137,2341.07,0.94475,0.74253,1.37339,0.88162,0.7831,0.84649,0.48288,1.57057,0.94138,2.12825,0.0004085,0.0004085,0.0004085
138,2359.74,0.951,0.73635,1.37099,0.80935,0.77842,0.82,0.46368,1.63388,0.94724,2.21916,0.000402312,0.000402312,0.000402312
139,2375.28,0.95718,0.75321,1.39445,0.83177,0.79087,0.83381,0.47697,1.61222,0.92441,2.21575,0.000396125,0.000396125,0.000396125
140,2393.02,0.9413,0.73458,1.36029,0.80525,0.81328,0.84382,0.46927,1.63428,0.96861,2.2132,0.000389938,0.000389938,0.000389938
141,2408.68,0.94741,0.74549,1.38103,0.85051,0.76015,0.82731,0.46918,1.63361,0.98452,2.2027,0.00038375,0.00038375,0.00038375
142,2426.76,0.9207,0.73088,1.35488,0.83582,0.80875,0.85966,0.47366,1.64102,0.92317,2.20871,0.000377563,0.000377563,0.000377563
143,2443.18,0.92474,0.68948,1.34967,0.85073,0.8051,0.85727,0.47791,1.60156,0.89079,2.21202,0.000371375,0.000371375,0.000371375
144,2461.49,0.92838,0.69492,1.35175,0.8633,0.77328,0.85351,0.47438,1.62436,0.91001,2.21411,0.000365188,0.000365188,0.000365188
145,2477.83,0.92304,0.68685,1.34939,0.85298,0.79783,0.86718,0.48246,1.6198,0.90621,2.1875,0.000359,0.000359,0.000359
146,2493.55,0.92071,0.71615,1.34648,0.87593,0.77508,0.84371,0.47684,1.6135,0.9214,2.16623,0.000352812,0.000352812,0.000352812
147,2511.31,0.92087,0.70742,1.36081,0.82723,0.78409,0.8202,0.46235,1.68029,0.92701,2.25794,0.000346625,0.000346625,0.000346625
148,2527.02,0.91329,0.7231,1.34129,0.85313,0.79146,0.83244,0.47932,1.59728,0.9059,2.18041,0.000340438,0.000340438,0.000340438
149,2545.42,0.93304,0.7168,1.36283,0.86026,0.7936,0.84204,0.47508,1.63449,0.90558,2.19902,0.00033425,0.00033425,0.00033425
150,2561.75,0.9127,0.70545,1.34543,0.83457,0.80639,0.8395,0.4734,1.65005,0.91602,2.2369,0.000328063,0.000328063,0.000328063
151,2580.08,0.90159,0.67167,1.33451,0.84444,0.80233,0.84734,0.46608,1.65102,0.92354,2.23559,0.000321875,0.000321875,0.000321875
152,2596.28,0.92034,0.72221,1.35644,0.85513,0.79407,0.83166,0.46581,1.60021,0.90001,2.18547,0.000315687,0.000315687,0.000315687
153,2614.25,0.87244,0.66091,1.31203,0.82718,0.79934,0.84164,0.47867,1.61284,0.90897,2.17964,0.0003095,0.0003095,0.0003095
154,2630.04,0.90916,0.70372,1.34692,0.82154,0.79089,0.81866,0.46821,1.64155,0.98786,2.21341,0.000303313,0.000303313,0.000303313
155,2645.68,0.89956,0.69139,1.34086,0.85381,0.78107,0.83372,0.46653,1.63352,0.92677,2.18821,0.000297125,0.000297125,0.000297125
156,2663.97,0.86735,0.65277,1.31641,0.84077,0.78947,0.83909,0.47618,1.64278,0.91904,2.20773,0.000290937,0.000290937,0.000290937
157,2680.46,0.87553,0.6541,1.31455,0.85194,0.77059,0.83265,0.46404,1.64179,0.95695,2.20183,0.00028475,0.00028475,0.00028475
158,2698.85,0.85657,0.65843,1.30442,0.82805,0.82115,0.85531,0.4871,1.61348,0.87679,2.19268,0.000278562,0.000278562,0.000278562
159,2715.3,0.8554,0.64456,1.31117,0.83603,0.7984,0.84268,0.47821,1.59031,0.90479,2.18538,0.000272375,0.000272375,0.000272375
160,2733.14,0.86187,0.66297,1.30399,0.84169,0.78461,0.84191,0.47034,1.64691,0.96039,2.25644,0.000266187,0.000266187,0.000266187
161,2748.73,0.86481,0.65447,1.31474,0.84142,0.80558,0.84109,0.46983,1.63833,0.93634,2.23715,0.00026,0.00026,0.00026
162,2765.09,0.84687,0.65178,1.29974,0.84306,0.80501,0.84567,0.48267,1.62951,0.92699,2.24204,0.000253812,0.000253812,0.000253812
163,2783.49,0.86537,0.65718,1.31832,0.88757,0.77048,0.83585,0.47509,1.60742,0.91025,2.23192,0.000247625,0.000247625,0.000247625
164,2799.91,0.83374,0.6261,1.29212,0.81446,0.81036,0.85234,0.48235,1.61562,0.88378,2.2183,0.000241438,0.000241438,0.000241438
165,2818.54,0.84995,0.64188,1.29743,0.85547,0.79506,0.85517,0.483,1.62184,0.91752,2.21517,0.00023525,0.00023525,0.00023525
166,2834.87,0.81908,0.61586,1.29229,0.86914,0.81109,0.86609,0.4907,1.61204,0.88871,2.23358,0.000229063,0.000229063,0.000229063
167,2853.48,0.84445,0.64275,1.28616,0.85062,0.79886,0.84888,0.47555,1.63524,0.922,2.27314,0.000222875,0.000222875,0.000222875
168,2869.81,0.84348,0.6284,1.29739,0.85181,0.8242,0.85444,0.47811,1.63714,0.89109,2.25918,0.000216688,0.000216688,0.000216688
169,2886.23,0.84548,0.64213,1.29815,0.84557,0.82069,0.86414,0.48986,1.60524,0.9199,2.21505,0.0002105,0.0002105,0.0002105
170,2904.39,0.81304,0.60948,1.27554,0.82038,0.82054,0.85507,0.47878,1.65534,0.90414,2.26113,0.000204313,0.000204313,0.000204313
171,2920.24,0.81649,0.61793,1.27959,0.84323,0.81496,0.85708,0.48523,1.63821,0.92791,2.2601,0.000198125,0.000198125,0.000198125
172,2938.5,0.80782,0.60777,1.27415,0.85341,0.84529,0.86633,0.48613,1.62424,0.89448,2.24945,0.000191938,0.000191938,0.000191938
173,2954.71,0.8144,0.60924,1.28346,0.87584,0.78406,0.8512,0.48699,1.63786,0.92526,2.2578,0.00018575,0.00018575,0.00018575
174,2972.61,0.80646,0.60917,1.27059,0.86282,0.80238,0.85391,0.48571,1.60823,0.93033,2.23679,0.000179563,0.000179563,0.000179563
175,2988.26,0.81309,0.61773,1.26765,0.86728,0.82721,0.86758,0.48373,1.60775,0.89928,2.23335,0.000173375,0.000173375,0.000173375
176,3005.96,0.80172,0.60695,1.26722,0.88757,0.80374,0.86249,0.48184,1.60005,0.92649,2.21081,0.000167188,0.000167188,0.000167188
177,3021.76,0.80164,0.59912,1.27937,0.81858,0.83151,0.84881,0.47292,1.61884,0.90698,2.24361,0.000161,0.000161,0.000161
178,3037.61,0.79544,0.59005,1.26941,0.85691,0.8022,0.85236,0.47743,1.58185,0.88302,2.17899,0.000154812,0.000154812,0.000154812
179,3055.78,0.8086,0.61594,1.2747,0.8553,0.82638,0.86046,0.47562,1.59755,0.88338,2.20964,0.000148625,0.000148625,0.000148625
180,3072.17,0.78787,0.59348,1.26197,0.88425,0.79645,0.85878,0.47941,1.61731,0.90356,2.23183,0.000142437,0.000142437,0.000142437
181,3090.04,0.78931,0.5864,1.26155,0.87721,0.79282,0.85489,0.47864,1.61932,0.92698,2.24762,0.00013625,0.00013625,0.00013625
182,3105.78,0.78191,0.58527,1.25093,0.83269,0.81554,0.84398,0.47315,1.62431,0.93883,2.26856,0.000130062,0.000130062,0.000130062
183,3123.81,0.79499,0.59353,1.26682,0.88154,0.79241,0.85025,0.477,1.60149,0.88107,2.2542,0.000123875,0.000123875,0.000123875
