epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
77,5605.55,0.38855,0.70578,0.48011,0.67284,0.78059,0.76571,0.40757,0.47399,0.73194,0.90205,0.00077975,0.00077975,0.00077975
78,5678.11,0.38311,0.71403,0.47409,0.75403,0.71502,0.75723,0.41411,0.46749,0.72032,0.86086,0.000773563,0.000773563,0.000773563
79,5752.76,0.3812,0.70745,0.47049,0.76279,0.68957,0.75416,0.39282,0.47559,0.78469,0.88907,0.000767375,0.000767375,0.000767375
80,5823.8,0.38424,0.69952,0.46643,0.74989,0.74615,0.76298,0.40205,0.4587,0.80558,0.85299,0.000761188,0.000761188,0.000761188
81,5894.34,0.379,0.7101,0.46961,0.81756,0.71753,0.78437,0.42115,0.48158,0.6708,0.92692,0.000755,0.000755,0.000755
82,5965.04,0.37451,0.71501,0.45781,0.82819,0.68988,0.79492,0.43509,0.4622,0.71498,0.87523,0.000748813,0.000748813,0.000748813
83,6036.08,0.38717,0.68544,0.47146,0.75802,0.75624,0.78852,0.42465,0.45706,0.7352,0.84022,0.000742625,0.000742625,0.000742625
84,6112.67,0.3898,0.6894,0.47964,0.80693,0.7068,0.76962,0.42173,0.45721,0.73117,0.84102,0.000736438,0.000736438,0.000736438
85,6183.73,0.37693,0.7205,0.46477,0.83809,0.704,0.81058,0.42728,0.46582,0.71893,0.88284,0.00073025,0.00073025,0.00073025
86,6254.91,0.37507,0.72119,0.46876,0.80627,0.7176,0.79251,0.43677,0.45537,0.70477,0.84306,0.000724062,0.000724062,0.000724062
87,6328.12,0.37605,0.7028,0.46388,0.78244,0.73655,0.80874,0.45447,0.45284,0.71744,0.82995,0.000717875,0.000717875,0.000717875
88,6402.23,0.37436,0.65729,0.46569,0.81411,0.72057,0.78243,0.43602,0.44947,0.74598,0.81124,0.000711687,0.000711687,0.000711687
89,6474.51,0.37332,0.65288,0.46785,0.84154,0.70434,0.78064,0.4299,0.4559,0.74751,0.86073,0.0007055,0.0007055,0.0007055
90,6836.89,0.36523,0.68106,0.4411,0.80025,0.709,0.79148,0.43945,0.44972,0.76159,0.83997,0.000699312,0.000699312,0.000699312
91,6909.02,0.37537,0.70211,0.45575,0.80582,0.75505,0.8143,0.44718,0.45687,0.71144,0.87139,0.000693125,0.000693125,0.000693125
92,6979.12,0.36896,0.67422,0.46689,0.83681,0.74823,0.79943,0.43177,0.46842,0.71028,0.91276,0.000686937,0.000686937,0.000686937
93,7050.89,0.36705,0.66037,0.45053,0.78053,0.73068,0.77206,0.41028,0.48645,0.71267,0.91802,0.00068075,0.00068075,0.00068075
